Country,Continent,Country code,Low,Medium,High
Isle of Man,Europe,833,-0.19,0.23,0.64
Latvia,Europe,428,-1.24,-0.69,-0.16
Lithuania,Europe,440,-1.15,-0.58,-0.02
Norway,Europe,578,0.13,0.53,0.93
Sweden,Europe,752,-0.03,0.39,0.81
United Kingdom,Europe,826,-0.2,0.24,0.67
Albania,Europe,8,-1.27,-0.72,-0.16
Andorra,Europe,20,-0.84,-0.45,-0.06
Bosnia and Herzegovina,Europe,70,-1.15,-0.63,-0.1
Croatia,Europe,191,-1.16,-0.66,-0.16
Gibraltar,Europe,292,-0.35,0.08,0.52
Greece,Europe,300,-1.07,-0.64,-0.2
Holy See,Europe,336,-0.16,0.1,0.39
Italy,Europe,380,-0.85,-0.43,0
Malta,Europe,470,-0.71,-0.25,0.2
Montenegro,Europe,499,-0.94,-0.43,0.08
Portugal,Europe,620,-1.12,-0.67,-0.23
San Marino,Europe,674,-0.58,-0.17,0.25
Serbia,Europe,688,-1.15,-0.6,-0.06
Slovenia,Europe,705,-0.87,-0.41,0.05
Spain,Europe,724,-0.85,-0.44,-0.02
TFYR Macedonia,Europe,807,-1.01,-0.48,0.05
Austria,Europe,40,-0.62,-0.18,0.26
Belgium,Europe,56,-0.34,0.1,0.53
France,Europe,250,-0.36,0.09,0.53
Germany,Europe,276,-0.74,-0.3,0.14
Liechtenstein,Europe,438,-0.3,0.11,0.53
Luxembourg,Europe,442,0.27,0.65,1.02
Monaco,Europe,492,0.2,0.55,0.89
Netherlands,Europe,528,-0.61,-0.15,0.31
Switzerland,Europe,756,-0.18,0.21,0.61
Anguilla,North America,660,-0.86,-0.34,0.18
Antigua and Barbuda,North America,28,-0.37,0.15,0.65
Aruba,North America,533,-0.78,-0.26,0.24
Bahamas,North America,44,-0.28,0.18,0.63
Barbados,North America,52,-0.77,-0.25,0.25
British Virgin Islands,North America,92,-0.4,0.06,0.52
Caribbean Netherlands,North America,535,-0.26,0.18,0.63
Cayman Islands,North America,136,0.03,0.45,0.87
