"","Country","Mammals","Birds","Reptiles","Amphibians","Fishes","Molluscs","Total","Continent","Low","Medium","High"
"78","Maldives",2,0,3,0,24,0,75,"Asia",-0.13,0.28,0.7
"79","Mongolia",11,24,0,0,2,0,40,"Asia",-0.01,0.49,0.96
"80","Myanmar",49,56,32,3,53,3,331,"Asia",-0.56,-0.01,0.52
"81","Nepal",29,38,9,3,7,1,107,"Asia",-0.42,0.12,0.66
"82","Oman",10,13,8,0,36,2,104,"Asia",0.13,0.49,0.85
"83","Pakistan",25,33,12,0,46,0,146,"Asia",0.28,0.76,1.23
"84","Philippines",38,93,39,27,91,3,780,"Asia",0.16,0.66,1.13
"85","Qatar",4,9,3,0,17,0,46,"Asia",0.21,0.5,0.81
"86","Russian Federation",34,57,9,0,39,8,239,"Asia",-0.75,-0.22,0.3
"87","Saudi Arabia",11,18,3,0,41,1,136,"Asia",-0.11,0.32,0.75
"88","Singapore",14,22,6,0,29,0,306,"Asia",-0.55,-0.18,0.21
"89","Sri Lanka",30,16,12,56,57,0,598,"Asia",-1.02,-0.45,0.09
"90","Syrian Arab Republic",14,17,9,0,51,9,139,"Asia",0.3,0.74,1.16
"91","Tajikistan",7,15,5,0,5,0,47,"Asia",0.46,0.96,1.43
"92","Thailand",59,62,37,7,106,15,641,"Asia",-1.1,-0.6,-0.1
"93","Timor-Leste",5,6,2,0,13,0,29,"Asia",1,1.45,1.87
"94","Turkey",19,20,21,10,131,45,401,"Asia",-0.36,0.12,0.59
"95","Turkmenistan",10,19,6,0,13,1,59,"Asia",-0.08,0.45,0.95
"96","Ukraine",11,17,1,0,24,9,114,"Asia",-1.17,-0.61,-0.07
"97","United Arab Emirates",8,13,4,0,20,0,60,"Asia",0.24,0.56,0.9
"98","Uzbekistan",10,19,7,0,7,1,62,"Asia",-0.32,0.2,0.71
"99","Viet Nam",56,52,73,45,83,30,692,"Asia",-0.32,0.15,0.63
"100","Yemen",11,16,7,1,40,2,306,"Asia",0.4,0.87,1.31
"101","Albania",3,8,5,2,44,50,137,"Europe",-1.27,-0.72,-0.16
"102","Andorra",2,3,1,0,0,3,14,"Europe",-0.84,-0.45,-0.06
"103","Austria",3,13,1,0,11,43,127,"Europe",-0.62,-0.18,0.26
"104","Belgium",2,8,0,0,13,6,39,"Europe",-0.34,0.1,0.53
"105","Bosnia and Herzegovina",4,7,3,1,36,18,96,"Europe",-1.15,-0.63,-0.1
"106","Bulgaria",8,17,2,0,22,32,115,"Europe",-1.39,-0.84,-0.3
"107","Croatia",9,14,4,2,64,49,181,"Europe",-1.16,-0.66,-0.16
"108","Czechia",3,9,0,0,2,6,74,"Europe",-0.7,-0.24,0.22
"109","Denmark",2,9,0,0,18,5,49,"Europe",-0.25,0.19,0.63
"110","Estonia",1,9,0,0,5,4,24,"Europe",-1.03,-0.52,-0.02
"111","Finland",2,11,0,0,6,3,37,"Europe",-0.32,0.12,0.56
"112","France",9,16,5,2,53,92,300,"Europe",-0.36,0.09,0.53
"113","Germany",5,11,0,0,24,31,144,"Europe",-0.74,-0.3,0.14
"114","Gibraltar",3,6,0,0,18,3,33,"Europe",-0.35,0.08,0.52
"115","Greece",10,17,10,5,80,178,503,"Europe",-1.07,-0.64,-0.2
"116","Greenland",9,6,0,0,9,0,25,"Europe",-0.98,-0.39,0.17
"117","Hungary",3,13,1,0,9,8,105,"Europe",-1.06,-0.56,-0.06
"118","Iceland",6,7,0,0,16,0,29,"Europe",-0.31,0.13,0.56
"119","Ireland",5,9,1,0,28,4,54,"Europe",-0.1,0.31,0.72
"120","Isle of Man",0,0,0,0,2,0,2,"Europe",-0.19,0.23,0.64
"121","Italy",8,17,4,9,52,83,423,"Europe",-0.85,-0.43,0
"122","Latvia",1,11,0,0,6,4,31,"Europe",-1.24,-0.69,-0.16
"123","Liechtenstein",0,2,0,0,0,2,8,"Europe",-0.3,0.11,0.53
"124","Lithuania",2,10,0,0,6,3,28,"Europe",-1.15,-0.58,-0.02
"125","Luxembourg",0,3,0,0,1,5,11,"Europe",0.27,0.65,1.02
"126","Malta",2,5,1,0,22,3,39,"Europe",-0.71,-0.25,0.2
"127","Monaco",3,0,0,0,15,1,22,"Europe",0.2,0.55,0.89
"128","Montenegro",6,13,4,1,32,22,101,"Europe",-0.94,-0.43,0.08
"129","Netherlands",3,10,0,0,15,5,43,"Europe",-0.61,-0.15,0.31
"130","Norway",8,11,0,0,23,3,73,"Europe",0.13,0.53,0.93
"131","Poland",4,11,0,0,8,7,65,"Europe",-1.25,-0.75,-0.24
"132","Portugal",13,15,5,1,67,86,410,"Europe",-1.12,-0.67,-0.23
"133","Romania",9,17,2,0,22,25,125,"Europe",-1.2,-0.67,-0.15
"134","San Marino",0,0,0,0,0,1,1,"Europe",-0.58,-0.17,0.25
"135","Serbia",6,13,1,0,15,8,77,"Europe",-1.15,-0.6,-0.06
"136","Slovakia",4,12,0,0,5,7,81,"Europe",-0.99,-0.48,0.02
"137","Slovenia",6,10,2,2,33,32,147,"Europe",-0.87,-0.41,0.05
"138","Spain",17,19,20,6,83,164,686,"Europe",-0.85,-0.44,-0.02
"139","Sweden",1,11,0,0,15,4,58,"Europe",-0.03,0.39,0.81
"140","Switzerland",3,9,0,1,9,10,79,"Europe",-0.18,0.21,0.61
"141","United Kingdom",5,11,1,0,48,7,133,"Europe",-0.2,0.24,0.67
"142","Anguilla",1,0,9,0,32,0,56,"North America",-0.86,-0.34,0.18
"143","Antigua and Barbuda",2,3,7,0,31,0,58,"North America",-0.37,0.15,0.65
"144","Aruba",2,2,2,0,24,1,34,"North America",-0.78,-0.26,0.24
"145","Bahamas",5,10,11,0,43,1,88,"North America",-0.28,0.18,0.63
"146","Barbados",3,4,7,0,29,0,57,"North America",-0.77,-0.25,0.25
"147","Belize",10,6,8,3,45,0,130,"North America",0.28,0.77,1.24
"148","Bermuda",4,3,4,0,27,0,74,"North America",-1.17,-0.67,-0.16
